cluster,subcategory,venues
Yusof Ishak House (YIH),Multipurpose Rooms,Ascent;;Beacon;;Elevate;;Illuminate;;Lumina;;Pinnacle;;Quest;;Wisdom
Yusof Ishak House (YIH),Other Spaces,Multipurpose Areas;;Flow;;Motion;;StepUp;;Harmony;;Rhythm;;Jamming Studio
University Cultural Centre (UCC),,Ho Bee Auditorium;;Theatre;;Dance Studio;;Function Rooms;;Atrium;;Theatre Foyer;;Ho Bee Auditorium Foyer
University Town (UTown),Performance,Auditorium;;Green
University Town (UTown),Dance,Dance Studio;;Dance Atelier;;Dance Atelier 2
University Town (UTown),Music & Practice,Music Studio;;Practice Room 1;;Practice Room L1;;Practice Room L3;;Practice Room M1;;Practice Room M2;;Practice Room M3;;Practice Room M4;;Practice Room M5;;Studio M1;;Studio M2;;Studio M3;;Studio M4;;Studio M5;;Studio M6
University Town (UTown),Other,Sports Hall (MPSH);;Seminar Rooms
Libraries,Central Library,Level 1 Event Space;;Level 4 Event Spaces
Libraries,Medical Science Library,Collaboration Space L1;;Collaboration Space L2
Libraries,Wan Boo Sow Chinese Library,Corridor Section 1;;Corridor Section 2;;Level 6 Event Space
Libraries,Law Library,Gallery Space (L2)
University Hall (UHall),,Corridor Section 1;;Corridor Section 2
School of Computing (SoC),,COM3 Foyer
Yong Siew Toh Conservatory (YST),,Conservatory Concert Hall
Other Venues,Shaw Foundation Alumni House,Auditorium
Other Venues,Yale-NUS College,College Hall
Other Venues,Ngee Ann Kongsi,Auditorium
Faculty Spaces,Science,Lecture Theatres;;Seminar Rooms;;Foyers
Faculty Spaces,FASS,Lecture Theatres;;Seminar Rooms
Faculty Spaces,Business,Lecture Theatres;;Seminar Rooms
Faculty Spaces,CDE,Lecture Theatres;;Seminar Rooms
Faculty Spaces,General Teaching Facilities,Lecture Theatres;;Seminar Rooms;;Tutorial Rooms;;Foyers
